,Artist,Genre,tag-list,Artist2,SongCount
74,MASSIVE ATTACK FEAT DAMON ALBARN,"['british', 'britpop', 'rock', 'alternative rock', 'uk', 'indie', 'english', 'rock and indie', 'art pop']","[{'count': '1', 'name': 'rock'}, {'count': '1', 'name': 'alternative rock'}, {'count': '2', 'name': 'british'}, {'count': '1', 'name': 'uk'}, {'count': '1', 'name': 'indie'}, {'count': '2', 'name': 'britpop'}, {'count': '1', 'name': 'english'}, {'count': '1', 'name': 'rock and indie'}, {'count': '1', 'name': 'art pop'}]","Albarn, Damon",1
75,DEATHPROD,"['electronic', 'dark ambient', 'dance and electronica']","[{'count': '2', 'name': 'electronic'}, {'count': '2', 'name': 'dark ambient'}, {'count': '0', 'name': 'dance and electronica'}]",Deathprod,4
76,NINE INCH NAILS,"['industrial metal', 'electro-industrial', 'industrial rock', 'rock', 'post-industrial', 'industrial', 'alternative rock', 'electronic', 'american', 'indie rock', 'alternative dance', 'libre', 'free culture', 'bootleg', 'n3', 'rock and indie', 'américain', 'alternative metal', 'experimental rock', 'alternative', 'usa', 'creative commons', 'synthpop', '2008 universal fire victim']","[{'count': '2', 'name': 'rock'}, {'count': '12', 'name': 'electronic'}, {'count': '-1', 'name': 'synthpop'}, {'count': '14', 'name': 'alternative rock'}, {'count': '15', 'name': 'industrial'}, {'count': '35', 'name': 'industrial rock'}, {'count': '-1', 'name': 'creative commons'}, {'count': '6', 'name': 'industrial metal'}, {'count': '1', 'name': 'american'}, {'count': '-1', 'name': 'usa'}, {'count': '1', 'name': 'indie rock'}, {'count': '-1', 'name': 'alternative'}, {'count': '-1', 'name': 'américain'}, {'count': '-1', 'name': 'experimental rock'}, {'count': '-1', 'name': 'alternative metal'}, {'count': '6', 'name': 'electro-industrial'}, {'count': '2', 'name': 'post-industrial'}, {'count': '1', 'name': 'alternative dance'}, {'count': '-2', 'name': 'bootleg'}, {'count': '-1', 'name': 'rock and indie'}, {'count': '-1', 'name': 'n3'}, {'count': '0', 'name': 'free culture'}, {'count': '0', 'name': 'libre'}, {'count': '-1', 'name': '2008 universal fire victim'}]",Nine Inch Nails,429
77,CONSTANCE DEMBY,"['new age', 'space ambient', 'ambient']","[{'count': '1', 'name': 'new age'}, {'count': '1', 'name': 'space ambient'}, {'count': '1', 'name': 'ambient'}]","Demby, Constance",2
78,CROWDED HOUSE,"['pop rock', 'soft rock', 'alternative rock', 'rock and indie', 'rock', 'australia', 'pop', 'indie rock', 'jangle pop']","[{'count': '1', 'name': 'rock'}, {'count': '0', 'name': 'pop'}, {'count': '2', 'name': 'alternative rock'}, {'count': '0', 'name': 'indie rock'}, {'count': '3', 'name': 'soft rock'}, {'count': '0', 'name': 'jangle pop'}, {'count': '4', 'name': 'pop rock'}, {'count': '1', 'name': 'australia'}, {'count': '2', 'name': 'rock and indie'}]",Crowded House,35
79,CYPRESS HILL,"['west coast hip hop', 'gangsta rap', 'chicano rap', 'hardcore hip hop', 'rapcore', 'alternative rap', 'hardcore rap', 'boom bap', 'rap rock', 'hip hop', 'psychedelic rap', 'west coast rap', 'gangster rap', 'rap-rock', 'latin rap', 'brostep', 'american', 'alternative hip hop', 'hip-hop', 'us', 'rap metal', 'hiphop', 'nu metal', 'rock and indie']","[{'count': '0', 'name': 'american'}, {'count': '0', 'name': 'hip-hop'}, {'count': '12', 'name': 'hip hop'}, {'count': '0', 'name': 'nu metal'}, {'count': '0', 'name': 'hiphop'}, {'count': '2', 'name': 'rapcore'}, {'count': '3', 'name': 'gangsta rap'}, {'count': '2', 'name': 'alternative rap'}, {'count': '2', 'name': 'hardcore rap'}, {'count': '0', 'name': 'rap metal'}, {'count': '2', 'name': 'rap rock'}, {'count': '0', 'name': 'us'}, {'count': '0', 'name': 'rock and indie'}, {'count': '1', 'name': 'rap-rock'}, {'count': '0', 'name': 'alternative hip hop'}, {'count': '1', 'name': 'latin rap'}, {'count': '2', 'name': 'chicano rap'}, {'count': '4', 'name': 'west coast hip hop'}, {'count': '1', 'name': 'gangster rap'}, {'count': '1', 'name': 'west coast rap'}, {'count': '2', 'name': 'boom bap'}, {'count': '0', 'name': 'brostep'}, {'count': '2', 'name': 'hardcore hip hop'}, {'count': '1', 'name': 'psychedelic rap'}]",Cypress Hill,14
80,DAVID BOWIE,"['art pop', 'rock', 'british', 'pop rock', 'new wave', 'uk', 'actors', 'classic rock', 'glam rock', 'art rock', 'alternative rock', 'pop', 'sound recording executives and producers', 'arrangers', 'glam rock music', 'rock musicians', 'singers', 'composers', 'rock music', 'glam rock musicians', 'permanent wave', 'killed by 2016!', 'death by liver cancer', 'classic pop and rock', 'britannique', 'pop/rock', 'english', 'server name', 'aln-sh', 'electronic', '80s', 'experimental', 'singer-songwriter', 'funk', 'avant-garde pop', 'post-disco', 'alternative', 'soul', 'psychedelic pop', 'experimental rock', 'blue-eyed soul']","[{'count': '6', 'name': 'rock'}, {'count': '-1', 'name': 'electronic'}, {'count': '10', 'name': 'pop'}, {'count': '11', 'name': 'alternative rock'}, {'count': '-1', 'name': '80s'}, {'count': '-1', 'name': 'experimental'}, {'count': '5', 'name': 'british'}, {'count': '-1', 'name': 'singer-songwriter'}, {'count': '5', 'name': 'new wave'}, {'count': '4', 'name': 'uk'}, {'count': '-3', 'name': 'britannique'}, {'count': '-1', 'name': 'funk'}, {'count': '-1', 'name': 'alternative'}, {'count': '-1', 'name': 'soul'}, {'count': '22', 'name': 'glam rock'}, {'count': '22', 'name': 'art rock'}, {'count': '3', 'name': 'classic rock'}, {'count': '-1', 'name': 'psychedelic pop'}, {'count': '-1', 'name': 'experimental rock'}, {'count': '5', 'name': 'pop rock'}, {'count': '-1', 'name': 'blue-eyed soul'}, {'count': '-3', 'name': 'english'}, {'count': '1', 'name': 'rock music'}, {'count': '1', 'name': 'composers'}, {'count': '-3', 'name': 'classic pop and rock'}, {'count': '1', 'name': 'singers'}, {'count': '3', 'name': 'actors'}, {'count': '-1', 'name': 'post-disco'}, {'count': '-4', 'name': 'death by liver cancer'}, {'count': '-3', 'name': 'pop/rock'}, {'count': '7', 'name': 'art pop'}, {'count': '-1', 'name': 'avant-garde pop'}, {'count': '-3', 'name': 'server name'}, {'count': '-5', 'name': 'killed by 2016!'}, {'count': '0', 'name': 'permanent wave'}, {'count': '-2', 'name': 'aln-sh'}, {'count': '1', 'name': 'rock musicians'}, {'count': '1', 'name': 'arrangers'}, {'count': '1', 'name': 'sound recording executives and producers'}, {'count': '1', 'name': 'glam rock music'}, {'count': '1', 'name': 'glam rock musicians'}]","Bowie, David",30
81,DAVID BOWIE & MICK JAGGER,"['art pop', 'rock', 'british', 'pop rock', 'new wave', 'uk', 'actors', 'classic rock', 'glam rock', 'art rock', 'alternative rock', 'pop', 'sound recording executives and producers', 'arrangers', 'glam rock music', 'rock musicians', 'singers', 'composers', 'rock music', 'glam rock musicians', 'permanent wave', 'killed by 2016!', 'death by liver cancer', 'classic pop and rock', 'britannique', 'pop/rock', 'english', 'server name', 'aln-sh', 'electronic', '80s', 'experimental', 'singer-songwriter', 'funk', 'avant-garde pop', 'post-disco', 'alternative', 'soul', 'psychedelic pop', 'experimental rock', 'blue-eyed soul']","[{'count': '6', 'name': 'rock'}, {'count': '-1', 'name': 'electronic'}, {'count': '10', 'name': 'pop'}, {'count': '11', 'name': 'alternative rock'}, {'count': '-1', 'name': '80s'}, {'count': '-1', 'name': 'experimental'}, {'count': '5', 'name': 'british'}, {'count': '-1', 'name': 'singer-songwriter'}, {'count': '5', 'name': 'new wave'}, {'count': '4', 'name': 'uk'}, {'count': '-3', 'name': 'britannique'}, {'count': '-1', 'name': 'funk'}, {'count': '-1', 'name': 'alternative'}, {'count': '-1', 'name': 'soul'}, {'count': '22', 'name': 'glam rock'}, {'count': '22', 'name': 'art rock'}, {'count': '3', 'name': 'classic rock'}, {'count': '-1', 'name': 'psychedelic pop'}, {'count': '-1', 'name': 'experimental rock'}, {'count': '5', 'name': 'pop rock'}, {'count': '-1', 'name': 'blue-eyed soul'}, {'count': '-3', 'name': 'english'}, {'count': '1', 'name': 'rock music'}, {'count': '1', 'name': 'composers'}, {'count': '-3', 'name': 'classic pop and rock'}, {'count': '1', 'name': 'singers'}, {'count': '3', 'name': 'actors'}, {'count': '-1', 'name': 'post-disco'}, {'count': '-4', 'name': 'death by liver cancer'}, {'count': '-3', 'name': 'pop/rock'}, {'count': '7', 'name': 'art pop'}, {'count': '-1', 'name': 'avant-garde pop'}, {'count': '-3', 'name': 'server name'}, {'count': '-5', 'name': 'killed by 2016!'}, {'count': '0', 'name': 'permanent wave'}, {'count': '-2', 'name': 'aln-sh'}, {'count': '1', 'name': 'rock musicians'}, {'count': '1', 'name': 'arrangers'}, {'count': '1', 'name': 'sound recording executives and producers'}, {'count': '1', 'name': 'glam rock music'}, {'count': '1', 'name': 'glam rock musicians'}]","Bowie, David",1
82,DAVID ESSEX,"['rock', 'british', 'soft rock', 'uk', 'english']","[{'count': '1', 'name': 'rock'}, {'count': '1', 'name': 'british'}, {'count': '1', 'name': 'soft rock'}, {'count': '1', 'name': 'uk'}, {'count': '1', 'name': 'english'}]","Essex, David",1
83,DAVID GRAY,"['folk rock', 'rock', 'alternative rock', 'folk', 'british', 'singer-songwriter', 'indie rock', 'alternative', 'contemporary folk', 'pop and chart']","[{'count': '1', 'name': 'rock'}, {'count': '1', 'name': 'alternative rock'}, {'count': '1', 'name': 'folk'}, {'count': '1', 'name': 'british'}, {'count': '1', 'name': 'singer-songwriter'}, {'count': '1', 'name': 'indie rock'}, {'count': '2', 'name': 'folk rock'}, {'count': '1', 'name': 'alternative'}, {'count': '1', 'name': 'contemporary folk'}, {'count': '1', 'name': 'pop and chart'}]","Gray, David",7
84,DAVID SYLVIAN & ROBERT FRIPP,"['progressive rock', 'ambient', 'british', 'uk', 'art rock', 'electroacoustic', 'drone', 'experimental rock', 'english', 'classic pop and rock', 'eclectic prog']","[{'count': '2', 'name': 'progressive rock'}, {'count': '1', 'name': 'ambient'}, {'count': '1', 'name': 'british'}, {'count': '1', 'name': 'uk'}, {'count': '1', 'name': 'art rock'}, {'count': '1', 'name': 'electroacoustic'}, {'count': '1', 'name': 'drone'}, {'count': '1', 'name': 'experimental rock'}, {'count': '1', 'name': 'english'}, {'count': '1', 'name': 'classic pop and rock'}, {'count': '1', 'name': 'eclectic prog'}]","Fripp, Robert",1
85,DE LA SOUL,"['jazz rap', 'east coast hip hop', 'boom bap', 'conscious hip hop', 'hip hop', 'pop rap', 'alternative hip hop', 'golden age hip hop', 'progressive rap', 'american', 'hip-hop', 'turntablism', 'hip hop rnb and dance hall', 'abstract hip hop']","[{'count': '-1', 'name': 'american'}, {'count': '-1', 'name': 'hip-hop'}, {'count': '10', 'name': 'hip hop'}, {'count': '1', 'name': 'pop rap'}, {'count': '-1', 'name': 'turntablism'}, {'count': '-1', 'name': 'hip hop rnb and dance hall'}, {'count': '1', 'name': 'alternative hip hop'}, {'count': '-1', 'name': 'abstract hip hop'}, {'count': '3', 'name': 'boom bap'}, {'count': '5', 'name': 'jazz rap'}, {'count': '3', 'name': 'conscious hip hop'}, {'count': '4', 'name': 'east coast hip hop'}, {'count': '1', 'name': 'golden age hip hop'}, {'count': '1', 'name': 'progressive rap'}]",De La Soul,23
86,DEAD KENNEDYS,"['hardcore punk', 'punk', 'punk rock', '80 s punk', 'jello biafra', 'hardcore', 'rock and indie']","[{'count': '1', 'name': 'jello biafra'}, {'count': '1', 'name': 'hardcore'}, {'count': '2', 'name': '80 s punk'}, {'count': '1', 'name': 'rock and indie'}, {'count': '5', 'name': 'hardcore punk'}, {'count': '3', 'name': 'punk rock'}, {'count': '4', 'name': 'punk'}]",Dead Kennedys,15
87,DEPECHE MODE,"['synthpop', 'alternative rock', 'british', 'dark wave', 'alternative dance', 'electronic', 'synth-pop', 'new wave', 'electronic rock', 'new romantic', 'electronica', 'post-punk', 'industrial', 'remix', 'downtempo', 'britannique', 'producer', 'post punk', 'uk', 'english', 'synth pop', 'producteur', 'rock and indie', 'barrel']","[{'count': '25', 'name': 'electronic'}, {'count': '0', 'name': 'downtempo'}, {'count': '9', 'name': 'synthpop'}, {'count': '9', 'name': 'alternative rock'}, {'count': '1', 'name': 'industrial'}, {'count': '8', 'name': 'british'}, {'count': '1', 'name': 'post-punk'}, {'count': '20', 'name': 'new wave'}, {'count': '6', 'name': 'dark wave'}, {'count': '0', 'name': 'uk'}, {'count': '0', 'name': 'britannique'}, {'count': '0', 'name': 'remix'}, {'count': '2', 'name': 'electronica'}, {'count': '20', 'name': 'synth-pop'}, {'count': '0', 'name': 'producer'}, {'count': '0', 'name': 'post punk'}, {'count': '3', 'name': 'alternative dance'}, {'count': '2', 'name': 'new romantic'}, {'count': '0', 'name': 'english'}, {'count': '0', 'name': 'synth pop'}, {'count': '0', 'name': 'producteur'}, {'count': '0', 'name': 'rock and indie'}, {'count': '2', 'name': 'electronic rock'}, {'count': '0', 'name': 'barrel'}]",Depeche Mode,27
88,DEPECHE MODE & REM,"['synthpop', 'alternative rock', 'british', 'dark wave', 'alternative dance', 'electronic', 'synth-pop', 'new wave', 'electronic rock', 'new romantic', 'electronica', 'post-punk', 'industrial', 'remix', 'downtempo', 'britannique', 'producer', 'post punk', 'uk', 'english', 'synth pop', 'producteur', 'rock and indie', 'barrel']","[{'count': '25', 'name': 'electronic'}, {'count': '0', 'name': 'downtempo'}, {'count': '9', 'name': 'synthpop'}, {'count': '9', 'name': 'alternative rock'}, {'count': '1', 'name': 'industrial'}, {'count': '8', 'name': 'british'}, {'count': '1', 'name': 'post-punk'}, {'count': '20', 'name': 'new wave'}, {'count': '6', 'name': 'dark wave'}, {'count': '0', 'name': 'uk'}, {'count': '0', 'name': 'britannique'}, {'count': '0', 'name': 'remix'}, {'count': '2', 'name': 'electronica'}, {'count': '20', 'name': 'synth-pop'}, {'count': '0', 'name': 'producer'}, {'count': '0', 'name': 'post punk'}, {'count': '3', 'name': 'alternative dance'}, {'count': '2', 'name': 'new romantic'}, {'count': '0', 'name': 'english'}, {'count': '0', 'name': 'synth pop'}, {'count': '0', 'name': 'producteur'}, {'count': '0', 'name': 'rock and indie'}, {'count': '2', 'name': 'electronic rock'}, {'count': '0', 'name': 'barrel'}]",Depeche Mode,2
89,DIDO,"['pop', 'trip hop', 'downtempo', 'singer-songwriter', 'uk', 'singer', 'electropop', 'folktronica', 'alternative rock', 'dance-pop', 'thank you', 'soft rock', 'synthpop', 'united kingdom', 'classic pop and rock']","[{'count': '3', 'name': 'downtempo'}, {'count': '0', 'name': 'synthpop'}, {'count': '8', 'name': 'pop'}, {'count': '2', 'name': 'alternative rock'}, {'count': '3', 'name': 'singer-songwriter'}, {'count': '3', 'name': 'uk'}, {'count': '3', 'name': 'singer'}, {'count': '3', 'name': 'electropop'}, {'count': '1', 'name': 'soft rock'}, {'count': '2', 'name': 'dance-pop'}, {'count': '5', 'name': 'trip hop'}, {'count': '0', 'name': 'united kingdom'}, {'count': '0', 'name': 'classic pop and rock'}, {'count': '3', 'name': 'folktronica'}, {'count': '2', 'name': 'thank you'}]",Dido,12
90,DIE ANTWOORD,"['hip hop', 'hiphop', 'pop rap', 'hip house', 'ninjas', 'instrumental hip hop', 'trap', 'uk hard house', 'electronic', 'rave', 'rap', 'south africa', 'za', 'zef']","[{'count': '0', 'name': 'electronic'}, {'count': '0', 'name': 'rave'}, {'count': '0', 'name': 'rap'}, {'count': '2', 'name': 'hip hop'}, {'count': '1', 'name': 'hiphop'}, {'count': '1', 'name': 'pop rap'}, {'count': '0', 'name': 'south africa'}, {'count': '1', 'name': 'hip house'}, {'count': '1', 'name': 'ninjas'}, {'count': '0', 'name': 'za'}, {'count': '1', 'name': 'instrumental hip hop'}, {'count': '1', 'name': 'trap'}, {'count': '0', 'name': 'zef'}, {'count': '1', 'name': 'uk hard house'}]","Antwoord, Die",40
91,DJ SHADOW,"['electronic', 'hip hop', 'turntablism', 'instrumental hip hop', 'experimental hip hop', 'trip hop', 'experimental', 'trip-hop', 'rock and indie', 'compositeur', 'composer', 'américain', 'electronica', 'usa', 'hip-hop', 'american', '2008 universal fire victim']","[{'count': '0', 'name': 'trip-hop'}, {'count': '9', 'name': 'electronic'}, {'count': '0', 'name': 'american'}, {'count': '0', 'name': 'hip-hop'}, {'count': '2', 'name': 'experimental'}, {'count': '8', 'name': 'hip hop'}, {'count': '0', 'name': 'usa'}, {'count': '0', 'name': 'electronica'}, {'count': '0', 'name': 'composer'}, {'count': '0', 'name': 'américain'}, {'count': '6', 'name': 'turntablism'}, {'count': '3', 'name': 'trip hop'}, {'count': '0', 'name': 'compositeur'}, {'count': '0', 'name': 'rock and indie'}, {'count': '3', 'name': 'experimental hip hop'}, {'count': '5', 'name': 'instrumental hip hop'}, {'count': '0', 'name': '2008 universal fire victim'}]","Shadow, DJ",1
92,DR DRE,"['west coast hip hop', 'gangsta rap', 'g-funk', 'pop rap', 'hip hop', 'rap', 'hardcore hip hop', 'instrumental hip hop', 'alliteration', 'producer', 'rapper', 'classic pop and rock', 'relic inn']","[{'count': '1', 'name': 'rap'}, {'count': '12', 'name': 'hip hop'}, {'count': '0', 'name': 'producer'}, {'count': '4', 'name': 'gangsta rap'}, {'count': '2', 'name': 'pop rap'}, {'count': '4', 'name': 'g-funk'}, {'count': '0', 'name': 'rapper'}, {'count': '0', 'name': 'classic pop and rock'}, {'count': '7', 'name': 'west coast hip hop'}, {'count': '1', 'name': 'hardcore hip hop'}, {'count': '1', 'name': 'instrumental hip hop'}, {'count': '0', 'name': 'relic inn'}, {'count': '1', 'name': 'alliteration'}]","Dre, Dr.",9
93,DURAN DURAN,"['pop', 'new romantic', 'rock', 'synth-pop', 'new wave', 'dance', 'pop rock', 'electronic', 'electro', 'alternative rock', 'british', '90s', '80s', 'uk', '70s', 'synthpop', 'english', '00s', 'classic pop and rock', 'male vocalists', '10s', 'new romantics', 'duran']","[{'count': '3', 'name': 'rock'}, {'count': '1', 'name': 'electronic'}, {'count': '0', 'name': 'synthpop'}, {'count': '8', 'name': 'pop'}, {'count': '1', 'name': 'alternative rock'}, {'count': '0', 'name': '70s'}, {'count': '0', 'name': '80s'}, {'count': '0', 'name': '90s'}, {'count': '1', 'name': 'dance'}, {'count': '0', 'name': 'british'}, {'count': '14', 'name': 'new wave'}, {'count': '1', 'name': 'electro'}, {'count': '0', 'name': 'uk'}, {'count': '2', 'name': 'synth-pop'}, {'count': '1', 'name': 'pop rock'}, {'count': '4', 'name': 'new romantic'}, {'count': '0', 'name': 'english'}, {'count': '0', 'name': '00s'}, {'count': '0', 'name': 'classic pop and rock'}, {'count': '0', 'name': 'male vocalists'}, {'count': '0', 'name': '10s'}, {'count': '0', 'name': 'new romantics'}, {'count': '0', 'name': 'duran'}]",Duran Duran,15
94,DVA,"['freak folk', 'soundtrack', 'vgm', 'video game music', 'czech republic', 'czech']","[{'count': '1', 'name': 'freak folk'}, {'count': '1', 'name': 'soundtrack'}, {'count': '1', 'name': 'vgm'}, {'count': '1', 'name': 'video game music'}, {'count': '1', 'name': 'czech republic'}, {'count': '1', 'name': 'czech'}]",DVA,23
95,ELLIOTT SMITH,"['indie rock', 'indie pop', 'singer/songwriter', 'acoustic rock', 'lo-fi indie', 'folk rock', 'singer-songwriter', 'indie folk', 'indie', 'american', 'américain', 'usa', 'sadcore', 'rock and indie', 'death by suicide', 'rock', 'death by knife']","[{'count': '0', 'name': 'rock'}, {'count': '1', 'name': 'american'}, {'count': '2', 'name': 'singer-songwriter'}, {'count': '0', 'name': 'usa'}, {'count': '8', 'name': 'indie rock'}, {'count': '2', 'name': 'folk rock'}, {'count': '1', 'name': 'indie'}, {'count': '0', 'name': 'américain'}, {'count': '5', 'name': 'indie pop'}, {'count': '10', 'name': 'indie folk'}, {'count': '3', 'name': 'acoustic rock'}, {'count': '0', 'name': 'sadcore'}, {'count': '0', 'name': 'rock and indie'}, {'count': '0', 'name': 'death by suicide'}, {'count': '-1', 'name': 'death by knife'}, {'count': '4', 'name': 'singer/songwriter'}, {'count': '3', 'name': 'lo-fi indie'}]","Smith, Elliott",78
96,EMINEM,"['detroit', 'detroit hip hop', 'pop rap', 'hardcore hip hop', 'hip-hop', 'hip hop', 'midwest hip hop', 'boom bap', 'conscious hip hop', 'rap', 'actor', 'songwriter', 'singer', 'horrorcore', 'midwestern hip-hop', 'trap', 'record producer', 'music trade', '2008 universal fire victim', 'relic inn', 'rap god', 'v', 'rapper', 'eminem', 'us', '90s', 'english', 'gangsta rap', 'detroit hip-hop', 'midwest hip-hop', '2000s', 'american', 'turkish', '8 mile', 'pop and chart', 'comedy rap', 'kun', 'hiphop']","[{'count': '-2', 'name': 'turkish'}, {'count': '0', 'name': '90s'}, {'count': '14', 'name': 'rap'}, {'count': '0', 'name': 'american'}, {'count': '4', 'name': 'hip-hop'}, {'count': '1', 'name': 'actor'}, {'count': '36', 'name': 'hip hop'}, {'count': '1', 'name': 'songwriter'}, {'count': '1', 'name': 'singer'}, {'count': '7', 'name': 'detroit'}, {'count': '-1', 'name': 'hiphop'}, {'count': '0', 'name': '2000s'}, {'count': '0', 'name': 'midwest hip-hop'}, {'count': '0', 'name': 'detroit hip-hop'}, {'count': '0', 'name': 'gangsta rap'}, {'count': '5', 'name': 'pop rap'}, {'count': '1', 'name': 'record producer'}, {'count': '0', 'name': 'english'}, {'count': '1', 'name': 'horrorcore'}, {'count': '0', 'name': 'rapper'}, {'count': '0', 'name': 'us'}, {'count': '-1', 'name': 'pop and chart'}, {'count': '0', 'name': 'eminem'}, {'count': '-1', 'name': '8 mile'}, {'count': '2', 'name': 'boom bap'}, {'count': '0', 'name': 'v'}, {'count': '-1', 'name': 'comedy rap'}, {'count': '3', 'name': 'midwest hip hop'}, {'count': '2', 'name': 'conscious hip hop'}, {'count': '5', 'name': 'hardcore hip hop'}, {'count': '1', 'name': 'trap'}, {'count': '-1', 'name': 'kun'}, {'count': '5', 'name': 'detroit hip hop'}, {'count': '0', 'name': 'relic inn'}, {'count': '0', 'name': '2008 universal fire victim'}, {'count': '0', 'name': 'rap god'}, {'count': '1', 'name': 'midwestern hip-hop'}, {'count': '1', 'name': 'music trade'}]",Eminem,29
97,EMINEM VS MICHAEL JACKSON,"['detroit', 'detroit hip hop', 'pop rap', 'hardcore hip hop', 'hip-hop', 'hip hop', 'midwest hip hop', 'boom bap', 'conscious hip hop', 'rap', 'actor', 'songwriter', 'singer', 'horrorcore', 'midwestern hip-hop', 'trap', 'record producer', 'music trade', '2008 universal fire victim', 'relic inn', 'rap god', 'v', 'rapper', 'eminem', 'us', '90s', 'english', 'gangsta rap', 'detroit hip-hop', 'midwest hip-hop', '2000s', 'american', 'turkish', '8 mile', 'pop and chart', 'comedy rap', 'kun', 'hiphop']","[{'count': '-2', 'name': 'turkish'}, {'count': '0', 'name': '90s'}, {'count': '14', 'name': 'rap'}, {'count': '0', 'name': 'american'}, {'count': '4', 'name': 'hip-hop'}, {'count': '1', 'name': 'actor'}, {'count': '36', 'name': 'hip hop'}, {'count': '1', 'name': 'songwriter'}, {'count': '1', 'name': 'singer'}, {'count': '7', 'name': 'detroit'}, {'count': '-1', 'name': 'hiphop'}, {'count': '0', 'name': '2000s'}, {'count': '0', 'name': 'midwest hip-hop'}, {'count': '0', 'name': 'detroit hip-hop'}, {'count': '0', 'name': 'gangsta rap'}, {'count': '5', 'name': 'pop rap'}, {'count': '1', 'name': 'record producer'}, {'count': '0', 'name': 'english'}, {'count': '1', 'name': 'horrorcore'}, {'count': '0', 'name': 'rapper'}, {'count': '0', 'name': 'us'}, {'count': '-1', 'name': 'pop and chart'}, {'count': '0', 'name': 'eminem'}, {'count': '-1', 'name': '8 mile'}, {'count': '2', 'name': 'boom bap'}, {'count': '0', 'name': 'v'}, {'count': '-1', 'name': 'comedy rap'}, {'count': '3', 'name': 'midwest hip hop'}, {'count': '2', 'name': 'conscious hip hop'}, {'count': '5', 'name': 'hardcore hip hop'}, {'count': '1', 'name': 'trap'}, {'count': '-1', 'name': 'kun'}, {'count': '5', 'name': 'detroit hip hop'}, {'count': '0', 'name': 'relic inn'}, {'count': '0', 'name': '2008 universal fire victim'}, {'count': '0', 'name': 'rap god'}, {'count': '1', 'name': 'midwestern hip-hop'}, {'count': '1', 'name': 'music trade'}]",Eminem,1
98,EN VOUGE,"['soul', 'new jack swing', 'contemporary r&b', 'funk rock', 'pop rap', 'east coast hip hop', 'hip hop rnb and dance hall']","[{'count': '1', 'name': 'funk rock'}, {'count': '2', 'name': 'soul'}, {'count': '1', 'name': 'pop rap'}, {'count': '2', 'name': 'new jack swing'}, {'count': '0', 'name': 'hip hop rnb and dance hall'}, {'count': '2', 'name': 'contemporary r&b'}, {'count': '1', 'name': 'east coast hip hop'}]",En Vogue,2
99,ENERGY 52,"['trance', 'pop and chart']","[{'count': '2', 'name': 'trance'}, {'count': '1', 'name': 'pop and chart'}]",Energy 52,1
100,ENO,"['electronic', 'experimental rock', 'art rock', 'british', 'united kingdom', 'ambient', 'uk', 'glam rock', 'drone', 'rock', 'britannique', 'classic pop and rock', 'art pop', 'electronica', 'space ambient']","[{'count': '1', 'name': 'rock'}, {'count': '9', 'name': 'electronic'}, {'count': '21', 'name': 'ambient'}, {'count': '3', 'name': 'british'}, {'count': '2', 'name': 'uk'}, {'count': '1', 'name': 'britannique'}, {'count': '0', 'name': 'electronica'}, {'count': '2', 'name': 'glam rock'}, {'count': '4', 'name': 'art rock'}, {'count': '2', 'name': 'drone'}, {'count': '5', 'name': 'experimental rock'}, {'count': '3', 'name': 'united kingdom'}, {'count': '1', 'name': 'classic pop and rock'}, {'count': '-1', 'name': 'space ambient'}, {'count': '1', 'name': 'art pop'}]","Eno, Brian",14
101,EVANESCENCE,"['metal', 'alternative rock', 'symphonic rock', 'rock', 'symphonic metal', 'piano rock', 'alternative metal', 'post-grunge', 'gothic metal', 'heavy metal', 'hard rock', 'industrial rock', 'gothic rock', 'hard alternative', 'n2', 'nu metal', 'new metal', 'american', 'pop rock', 'pop and chart']","[{'count': '4', 'name': 'rock'}, {'count': '5', 'name': 'alternative rock'}, {'count': '1', 'name': 'heavy metal'}, {'count': '0', 'name': 'industrial rock'}, {'count': '7', 'name': 'metal'}, {'count': '-1', 'name': 'american'}, {'count': '1', 'name': 'gothic metal'}, {'count': '0', 'name': 'hard rock'}, {'count': '-1', 'name': 'nu metal'}, {'count': '-1', 'name': 'new metal'}, {'count': '1', 'name': 'post-grunge'}, {'count': '4', 'name': 'symphonic metal'}, {'count': '13', 'name': 'alternative metal'}, {'count': '-1', 'name': 'pop rock'}, {'count': '5', 'name': 'symphonic rock'}, {'count': '0', 'name': 'gothic rock'}, {'count': '2', 'name': 'piano rock'}, {'count': '-1', 'name': 'pop and chart'}, {'count': '-3', 'name': 'n2'}, {'count': '0', 'name': 'hard alternative'}]",Evanescence,2
102,FAITH NO MORE,"['funk metal', 'experimental', 'metal', 'post-punk', 'alternative metal', 'alternative rock', 'hard alternative', 'rock', 'crossover', 'usa', 'funk rock', 'pop rock', 'rap metal', 'classic pop and rock']","[{'count': '-1', 'name': 'rock'}, {'count': '13', 'name': 'alternative rock'}, {'count': '4', 'name': 'metal'}, {'count': '6', 'name': 'experimental'}, {'count': '-1', 'name': 'crossover'}, {'count': '2', 'name': 'post-punk'}, {'count': '-1', 'name': 'usa'}, {'count': '-1', 'name': 'funk rock'}, {'count': '18', 'name': 'alternative metal'}, {'count': '-1', 'name': 'pop rock'}, {'count': '8', 'name': 'funk metal'}, {'count': '-1', 'name': 'rap metal'}, {'count': '-1', 'name': 'classic pop and rock'}, {'count': '0', 'name': 'hard alternative'}]",Faith No More,10
