,Artist,Genre,tag-list,Artist2,SongCount
10,ARETHA FRANKLIN,"['soul', 'gospel', 'deep soul', 'southern soul', 'quiet storm', 'rhythm & blues', 'r&b', 'aln-sh', 'jazz', 'rnb', 'pop', 'soul and reggae', 'pop soul', 'smooth soul', 'american', 'the queen of soul', 'server name', '2008 universal fire victim', 'rock']","[{'count': '0', 'name': 'rock'}, {'count': '0', 'name': 'pop'}, {'count': '1', 'name': 'jazz'}, {'count': '0', 'name': 'american'}, {'count': '8', 'name': 'soul'}, {'count': '0', 'name': 'rnb'}, {'count': '5', 'name': 'gospel'}, {'count': '1', 'name': 'quiet storm'}, {'count': '2', 'name': 'southern soul'}, {'count': '2', 'name': 'deep soul'}, {'count': '0', 'name': 'soul and reggae'}, {'count': '0', 'name': 'pop soul'}, {'count': '0', 'name': 'smooth soul'}, {'count': '1', 'name': 'r&b'}, {'count': '1', 'name': 'rhythm & blues'}, {'count': '0', 'name': 'the queen of soul'}, {'count': '0', 'name': 'server name'}, {'count': '0', 'name': '2008 universal fire victim'}, {'count': '1', 'name': 'aln-sh'}]","Franklin, Aretha",8
11,ARVO PART,"['classical', 'composer', 'modern classical', 'contemporary', 'estonian', 'contemporary classical', 'minimalism', 'religious', 'estonian composer', 'christian artist', 'christian liturgical music', 'orchestral', 'choral', 'symphony', 'cleaned up']","[{'count': '6', 'name': 'classical'}, {'count': '0', 'name': 'orchestral'}, {'count': '5', 'name': 'composer'}, {'count': '1', 'name': 'contemporary classical'}, {'count': '0', 'name': 'choral'}, {'count': '2', 'name': 'contemporary'}, {'count': '0', 'name': 'symphony'}, {'count': '2', 'name': 'estonian'}, {'count': '1', 'name': 'minimalism'}, {'count': '3', 'name': 'modern classical'}, {'count': '1', 'name': 'religious'}, {'count': '1', 'name': 'estonian composer'}, {'count': '-1', 'name': 'cleaned up'}, {'count': '1', 'name': 'christian artist'}, {'count': '1', 'name': 'christian liturgical music'}]","Prt, Arvo",3
12,ARVO PÄRT,"['classical', 'composer', 'modern classical', 'contemporary', 'estonian', 'contemporary classical', 'minimalism', 'religious', 'estonian composer', 'christian artist', 'christian liturgical music', 'orchestral', 'choral', 'symphony', 'cleaned up']","[{'count': '6', 'name': 'classical'}, {'count': '0', 'name': 'orchestral'}, {'count': '5', 'name': 'composer'}, {'count': '1', 'name': 'contemporary classical'}, {'count': '0', 'name': 'choral'}, {'count': '2', 'name': 'contemporary'}, {'count': '0', 'name': 'symphony'}, {'count': '2', 'name': 'estonian'}, {'count': '1', 'name': 'minimalism'}, {'count': '3', 'name': 'modern classical'}, {'count': '1', 'name': 'religious'}, {'count': '1', 'name': 'estonian composer'}, {'count': '-1', 'name': 'cleaned up'}, {'count': '1', 'name': 'christian artist'}, {'count': '1', 'name': 'christian liturgical music'}]","Prt, Arvo",9
13,ASHRA,"['ambient', 'progressive electronic']","[{'count': '1', 'name': 'ambient'}, {'count': '1', 'name': 'progressive electronic'}]",Ashra,4
14,AUTECHRE,"['glitch', 'abstract', 'ambient techno', 'warp', 'generative music', 'electronica', 'idm', 'electronic', 'experimental', 'instrumental', 'avant-garde', 'drill and bass', 'experimental electronic', 'uk', 'british', 'english', 'dance and electronica', 'glitch hop', 'mutachre']","[{'count': '17', 'name': 'electronic'}, {'count': '1', 'name': 'instrumental'}, {'count': '15', 'name': 'experimental'}, {'count': '0', 'name': 'british'}, {'count': '19', 'name': 'idm'}, {'count': '0', 'name': 'uk'}, {'count': '2', 'name': 'electronica'}, {'count': '5', 'name': 'ambient techno'}, {'count': '9', 'name': 'glitch'}, {'count': '6', 'name': 'abstract'}, {'count': '1', 'name': 'avant-garde'}, {'count': '0', 'name': 'english'}, {'count': '5', 'name': 'warp'}, {'count': '1', 'name': 'drill and bass'}, {'count': '0', 'name': 'dance and electronica'}, {'count': '0', 'name': 'glitch hop'}, {'count': '1', 'name': 'experimental electronic'}, {'count': '0', 'name': 'mutachre'}, {'count': '3', 'name': 'generative music'}]",Autechre,21
15,B-52S,"['pop rock', 'new wave', 'dance-pop', 'dance-rock', 'pop', 'punk', 'post-punk', 'alternative rock', 'dance-punk', 'classic pop and rock', 'united states', 'queer', 'b-52 s']","[{'count': '1', 'name': 'pop'}, {'count': '0', 'name': 'alternative rock'}, {'count': '1', 'name': 'punk'}, {'count': '1', 'name': 'post-punk'}, {'count': '3', 'name': 'new wave'}, {'count': '3', 'name': 'dance-pop'}, {'count': '4', 'name': 'pop rock'}, {'count': '0', 'name': 'dance-punk'}, {'count': '0', 'name': 'classic pop and rock'}, {'count': '0', 'name': 'united states'}, {'count': '0', 'name': 'queer'}, {'count': '0', 'name': 'b-52 s'}, {'count': '2', 'name': 'dance-rock'}]","B52s, The",3
16,BACH,"['german', 'european', 'gramophone selection', 'classical', 'baroque', 'composer', 'mathäuspassion', 'bertalan hock', '1036', 'helmut walcha', 'cantata 147', 'cantata', 'vox', 'messe h-moll', 'motet', 'organist', 'german composer', 'wagner', 'mass', 'bach', 'orchestral', 'six', '134a', 'bach double violin concerto', 'latin']","[{'count': '19', 'name': 'classical'}, {'count': '8', 'name': 'german'}, {'count': '1', 'name': 'german composer'}, {'count': '1', 'name': 'orchestral'}, {'count': '11', 'name': 'composer'}, {'count': '1', 'name': 'organist'}, {'count': '12', 'name': 'baroque'}, {'count': '0', 'name': 'latin'}, {'count': '5', 'name': 'european'}, {'count': '1', 'name': 'bach'}, {'count': '1', 'name': 'mass'}, {'count': '1', 'name': 'wagner'}, {'count': '1', 'name': 'six'}, {'count': '0', 'name': '134a'}, {'count': '1', 'name': 'motet'}, {'count': '1', 'name': 'mathäuspassion'}, {'count': '1', 'name': 'messe h-moll'}, {'count': '1', 'name': 'vox'}, {'count': '1', 'name': 'cantata'}, {'count': '1', 'name': 'cantata 147'}, {'count': '0', 'name': 'bach double violin concerto'}, {'count': '1', 'name': 'helmut walcha'}, {'count': '1', 'name': '1036'}, {'count': '1', 'name': 'bertalan hock'}, {'count': '3', 'name': 'gramophone selection'}]","Bach, Johann Sebastian",2
17,BABES IN TOYLAND,"['grunge', 'alternative rock', 'riot grrrl', 'punk rock', 'noise rock', '90', 'punk', 'riot grrl', 'northwest', 'usa', 'minneapolis']","[{'count': '1', 'name': 'riot grrrl'}, {'count': '1', 'name': 'punk rock'}, {'count': '1', 'name': 'noise rock'}, {'count': '1', 'name': '90'}, {'count': '1', 'name': 'punk'}, {'count': '1', 'name': 'riot grrl'}, {'count': '1', 'name': 'northwest'}, {'count': '1', 'name': 'usa'}, {'count': '2', 'name': 'grunge'}, {'count': '1', 'name': 'minneapolis'}, {'count': '2', 'name': 'alternative rock'}]",Babes in Toyland,13
18,BACHMAN TURNER OVERDRIVE,"['rock', 'hard rock', 'classic rock', 'boogie rock', 'aor', 'classic pop and rock', 'freedom call']","[{'count': '4', 'name': 'rock'}, {'count': '1', 'name': 'hard rock'}, {'count': '1', 'name': 'classic rock'}, {'count': '1', 'name': 'boogie rock'}, {'count': '1', 'name': 'aor'}, {'count': '0', 'name': 'classic pop and rock'}, {'count': '0', 'name': 'freedom call'}]",BachmanTurner Overdrive,3
19,BASEMENT JAXX,"['electronic', 'dance', 'house', 'british', 'big beat', 'uk garage', 'dance-pop', 'funky house', 'electro house', 'latin house', '90s', 'uk', 'english', '00s', 'dance and electronica', '10s']","[{'count': '4', 'name': 'electronic'}, {'count': '2', 'name': 'big beat'}, {'count': '0', 'name': '90s'}, {'count': '4', 'name': 'dance'}, {'count': '4', 'name': 'house'}, {'count': '3', 'name': 'british'}, {'count': '0', 'name': 'uk'}, {'count': '1', 'name': 'dance-pop'}, {'count': '1', 'name': 'funky house'}, {'count': '2', 'name': 'uk garage'}, {'count': '0', 'name': 'english'}, {'count': '1', 'name': 'electro house'}, {'count': '0', 'name': '00s'}, {'count': '0', 'name': 'dance and electronica'}, {'count': '1', 'name': 'latin house'}, {'count': '0', 'name': '10s'}]",Basement Jaxx,2
